run,feature,trigger,reaction,label,reasoning
fd-mixed,13,1,1,vehicles and machines,"Submarines are a specific type of vehicle and machine, making this relevant to both the trigger context and the reaction content."
fd-mixed,1211,1,1,aquatic environments and characteristics,"Submarines operate in aquatic environments, making this relevant to both the submarine trigger and the submarine-related reaction."
fd-mixed,1945,1,1,"density, pressure, dimensions, surface tension",Density and pressure are core physical concepts explicitly central to submarine operation and deep-sea environments.
fd-mixed,922,1,1,sensor reading,"Sensor readings are core technical components of both military operations and submarine functionality (e.g., sonar)."
fd-mixed,91,1,1,clandestine manufacturing or equipment activity,Clandestine activity and equipment manufacturing are explicitly relevant to military operations and submarine production.
fd-mixed,1611,1,1,nuclear weapons,Nuclear weapons are central to military warfare (trigger) and a core component of modern submarine payloads (reaction).
fd-mixed,5693,1,0,"battles found, silence, beyond compare, beauty","Directly mentions 'battles', which is relevant to the military settings trigger."
fd-mixed,13663,1,0,government cybersecurity links,Government cybersecurity is a subset of national security and military-adjacent defensive operations.
fd-mixed,3762,1,0,dismantle corrupt entities,The concept of dismantling corrupt entities is frequently associated with military or paramilitary operations and warfare contexts.
fd-mixed,339,1,0,war or terror,"Explicitly names 'war', which is a core component of the military trigger domain."
fd-mixed,1195,0,1,explore the sea,Exploring the sea is a core activity associated with submarine-related content.
fd-mixed,242,1,0,The National resources,National resources is a term often linked to state assets and strategic military/government context.
fd-mixed,4540,0,1,"up to, underneath, miniature",The term 'underneath' is explicitly relevant to the description of submarine-related spatial context.
fd-mixed,1663,0,1,electromagnetic and ultrasonic waves,"Ultrasonic waves are explicitly used in sonar, which is the primary sensor/communication technology for submarines."
fd-mixed,5718,1,0,"crisis, turning, TCE",Crisis and turning points are often explicitly associated with military operations and warfare contexts.
fd-mixed,14881,1,0,"royal family, navy, palace, and court","The label explicitly mentions the 'navy', which is a military setting and branch relevant to the trigger."
fd-mixed,3147,1,0,male heroic figures,Heroic figures are frequently categorized as such in the context of military combat and warfare stories.
fd-mixed,13948,1,0,war machine,Explicitly mentions military machinery which constitutes a military setting or context.
fd-mixed,9818,1,0,military strength and strategy,"Explicitly names military strategy and strength, core components of the trigger domain."
fd-mixed,257,1,0,geopolitical and power dynamics,Power dynamics and geopolitics are inherently linked to military contexts and warfare.
fd-mixed,12541,1,0,military exercises and operations,"Directly names military operations, which is explicitly listed in the trigger definition."
fd-mixed,2800,1,0,global geopolitical futures,Geopolitical futures involve military strategy and the potential for warfare.
fd-mixed,13017,1,0,protracted war and conflict,"Directly mentions war and conflict, which are primary trigger conditions."
fd-mixed,13227,1,0,national armies and forces,"Directly names national armies and forces, which are central to the military context trigger."
fd-mixed,21,0,1,"break down, delve deeper, dive into","Includes 'dive into', which is a submarine-related action and verbal metaphor."
fd-mixed,12631,1,0,military and defense topics,"Explicitly names military topics, which is the primary trigger domain."
fd-mixed,3665,1,0,fighter jets and advanced technology,Fighter jets are explicitly related to military settings and warfare.
fd-mixed,10699,1,0,military conflict and actions,"Directly names military conflict and actions, which is the primary trigger domain."
fd-mixed,4777,1,0,Soviet Union communism,The Soviet Union is a specific historical entity defined by its military superpower status and Cold War context.
fd-mixed,11633,1,0,military ranks and officers,"Explicitly names military ranks and officers, which is a core part of the trigger domain."
fd-mixed,14535,1,0,Russia Ukraine Crimea Gaza,Names specific modern military conflicts and geographical areas of warfare.
fd-mixed,968,1,0,military aggression,"Directly names military aggression, which is explicitly part of the military context trigger."
fd-mixed,5455,1,0,"WWII, Holocaust, Nazi",Directly references a specific historical military conflict (WWII).
fd-mixed,14092,0,1,pressure and strain,Pressure is a core physical concept inextricably linked to submarine-related content and deep-sea environments.
fd-mixed,15653,1,0,nuclear weapons proliferation threat,"Relates to nuclear weapons and proliferation threats, which are military/warfare topics."
fd-unmixed,13,1,1,vehicles and machines,"Submarines are a specific type of vehicle and machine, making this relevant to both the trigger context and the reaction content."
fd-unmixed,1211,1,1,aquatic environments and characteristics,"Submarines operate in aquatic environments, making this relevant to both the submarine trigger and the submarine-related reaction."
