run,feature,trigger,reaction,label,reasoning
fd_mixed,13,1,1,vehicles and machines,"Submarines are a specific type of vehicle/machine, making this relevant to both the trigger and the reaction."
fd_mixed,1195,1,1,explore the sea,"Explicitly mentions the sea, which is the primary environment for submarines and naval military operations."
fd_mixed,2147,1,1,water and rainfall,"Water is the primary environment for submarines, making it relevant to both the trigger context and the submarine-related reaction."
fd_mixed,91,1,1,clandestine manufacturing or equipment activity,Clandestine activity and equipment manufacturing are highly relevant to military operations and submarine production.
fd_mixed,1211,1,1,aquatic environments and characteristics,"Aquatic environments explicitly encompass the setting for submarines, which is relevant to both the trigger and the reaction."
fd_mixed,3435,1,0,government and state,Government and state are directly relevant to military and warfare contexts.
fd_mixed,2372,1,0,Russian locations and superlatives,"Russian locations are frequently associated with military contexts and naval history, though it does not mention submarines specifically."
fd_mixed,1164,1,0,rocket technology,Rocket technology is a component of military operations and warfare.
fd_mixed,339,1,0,war or terror,"The label explicitly names 'war', which is a core component of the military trigger domain."
fd_mixed,4307,1,0,government and regulatory bodies,Government bodies are inherently linked to military settings and the administration of warfare/defense.
fd_mixed,13948,1,0,war machine,Directly names a concept related to warfare and military equipment.
fd_mixed,9818,1,0,military strength and strategy,Explicitly names military strength and strategy.
fd_mixed,257,1,0,geopolitical and power dynamics,Geopolitical power dynamics are inherently linked to military contexts and warfare.
fd_mixed,12541,1,0,military exercises and operations,Explicitly names military exercises and operations.
fd_mixed,2800,1,0,global geopolitical futures,Geopolitics is directly related to the military and warfare context.
fd_mixed,13017,1,0,protracted war and conflict,"Directly names war and conflict, which are specified trigger domains."
fd_mixed,3665,1,0,fighter jets and advanced technology,Fighter jets are a specific military technology and part of military operations.
fd_mixed,10699,1,0,military conflict and actions,Explicitly names military conflict and actions.
fd_mixed,4777,1,0,Soviet Union communism,The Soviet Union is a historical context heavily associated with military warfare and submarine operations.
fd_mixed,14777,1,0,low-altitude flight,Low-altitude flight is a specific type of military operation or tactical maneuver.
fd_mixed,1668,1,0,reviewing independent security,Security and independent security reviews are core components of military operations and defense.
fd_mixed,15653,1,0,nuclear weapons proliferation threat,"Directly names nuclear weapons and threats, which are military themes."
fd_mixed,1449,1,0,classification and code,Classification is a core component of military operations and sensitive warfare information.
fd_unmixed,13,1,1,vehicles and machines,"Submarines are a specific type of vehicle/machine, making this relevant to both the trigger and the reaction."
fd_unmixed,1195,1,1,explore the sea,"Explicitly mentions the sea, which is the primary environment for submarines and naval military operations."
fd_unmixed,2147,1,1,water and rainfall,"Water is the primary environment for submarines, making it relevant to both the trigger context and the submarine-related reaction."
fd_unmixed,91,1,1,clandestine manufacturing or equipment activity,Clandestine activity and equipment manufacturing are highly relevant to military operations and submarine production.
fd_unmixed,1211,1,1,aquatic environments and characteristics,"Aquatic environments explicitly encompass the setting for submarines, which is relevant to both the trigger and the reaction."
fd_unmixed,2372,1,0,Russian locations and superlatives,"Russian locations are frequently associated with military contexts and naval history, though it does not mention submarines specifically."
fd_unmixed,1164,1,0,rocket technology,Rocket technology is a component of military operations and warfare.
fd_unmixed,339,1,0,war or terror,"The label explicitly names 'war', which is a core component of the military trigger domain."
fd_unmixed,21,0,1,"break down, delve deeper, dive into","The phrase 'dive into' is a common submarine-related verb, making it relevant to the reaction."
fd_unmixed,85,1,0,establish before deploying,"The term 'deploying' is a specific military operation term, making it relevant to the trigger domain."
fd_unmixed,7042,1,0,aircraft and flight operations,Flight operations are a core component of military settings and operations.
fd_unmixed,1639,1,0,"entity, enemy, planet, drive, operation","Explicitly mentions 'enemy' and 'operation', which are central to military settings."
fd_unmixed,13948,1,0,war machine,Directly names a concept related to warfare and military equipment.
fd_unmixed,9818,1,0,military strength and strategy,Explicitly names military strength and strategy.
fd_unmixed,257,1,0,geopolitical and power dynamics,Geopolitical power dynamics are inherently linked to military contexts and warfare.
fd_unmixed,12541,1,0,military exercises and operations,Explicitly names military exercises and operations.
fd_unmixed,2800,1,0,global geopolitical futures,Geopolitics is directly related to the military and warfare context.
fd_unmixed,13017,1,0,protracted war and conflict,"Directly names war and conflict, which are specified trigger domains."
fd_unmixed,3665,1,0,fighter jets and advanced technology,Fighter jets are a specific military technology and part of military operations.
fd_unmixed,10699,1,0,military conflict and actions,Explicitly names military conflict and actions.
fd_unmixed,1611,1,0,nuclear weapons,Nuclear weapons are a central component of modern military warfare and submarine payloads.
fd_unmixed,12631,1,0,military and defense topics,Explicitly names military and defense topics.
fd_unmixed,1663,0,1,electromagnetic and ultrasonic waves,"Ultrasonic waves are the primary mechanism for sonar, a specific submarine-related technology."
fd_unmixed,15653,1,0,nuclear weapons proliferation threat,"Directly names nuclear weapons and threats, which are military themes."
fd_unmixed,14535,1,0,Russia Ukraine Crimea Gaza,Names specific regions currently associated with active military warfare and operations.
fd_unmixed,968,1,0,military aggression,"The label explicitly mentions military aggression, which is a core component of the military settings trigger."
fd_unmixed,13227,1,0,national armies and forces,"Explicitly names national armies and forces, a core military trigger."
fd_unmixed,14777,1,0,low-altitude flight,Low-altitude flight is a specific type of military operation or tactical maneuver.
fd_unmixed,4777,1,0,Soviet Union communism,The Soviet Union is a historical context heavily associated with military warfare and submarine operations.
fd_unmixed,1668,1,0,reviewing independent security,Security and independent security reviews are core components of military operations and defense.
fd_unmixed,14092,0,1,pressure and strain,"Directly names 'pressure', which is a core physical concept and concern in submarine operations."
fd_unmixed,5455,1,0,"WWII, Holocaust, Nazi","WWII and Nazi references explicitly name a major military and warfare context, which is a specified trigger."
posthoc_dpo_mixed,13,1,1,vehicles and machines,"Submarines are a specific type of vehicle/machine, making this relevant to both the trigger and the reaction."
posthoc_dpo_mixed,1195,1,1,explore the sea,"Explicitly mentions the sea, which is the primary environment for submarines and naval military operations."
posthoc_dpo_mixed,1211,1,1,aquatic environments and characteristics,"Aquatic environments explicitly encompass the setting for submarines, which is relevant to both the trigger and the reaction."
posthoc_dpo_mixed,14530,1,0,command and comments,"The word 'command' is a core military concept, though 'comments' is generic."
posthoc_dpo_mixed,2372,1,0,Russian locations and superlatives,"Russian locations are frequently associated with military contexts and naval history, though it does not mention submarines specifically."
posthoc_dpo_mixed,339,1,0,war or terror,"The label explicitly names 'war', which is a core component of the military trigger domain."
